N,Time(ns)
1000,145166.8
1020,51833.4
1040,49783.3
1060,60241.6
1080,46195.8
1100,48954.1
1120,35066.8
1140,16070.7
1160,16970.9
1180,18170.9
1200,30799.9
1220,5241.6
1240,4279.2
1260,6312.4
1280,3720.7
1300,5491.8
1320,5945.8
1340,9291.7
1360,7491.7
1380,3716.6
1400,5108.4
1420,2904.2
1440,6895.8
1460,5333.4
1480,4525.1
1500,4712.5
1520,5687.5
1540,6720.8
1560,3275.0
1580,3962.6
1600,3641.6
1620,3150.0
1640,3958.4
1660,4575.0
1680,3183.3
1700,5183.2
1720,3800.0
1740,6725.1
1760,3875.1
1780,3100.0
1800,4866.7
1820,3437.5
1840,3466.7
1860,6329.1
1880,4675.0
1900,3816.6
1920,3449.9
1940,4220.7
1960,4358.4
1980,4358.2
2000,3962.5
2020,4112.5
2040,12237.5
2060,4225.0
2080,-1633.4
2100,3237.5
2120,4820.9
2140,4162.5
2160,4066.6
2180,5195.8
2200,2987.5
2220,3862.6
2240,3150.1
2260,6133.4
2280,3441.6
2300,4537.4
2320,4600.0
2340,4458.3
2360,4245.9
2380,4058.4
2400,4283.3
2420,3712.4
2440,4220.7
2460,4695.8
2480,1091.7
2500,2570.8
2520,4370.9
2540,12845.8
2560,4054.2
2580,5154.2
2600,4133.3
2620,4091.7
2640,5058.3
2660,5804.2
2680,5254.1
2700,4387.5
2720,4883.3
2740,6095.9
2760,5704.1
2780,5020.9
2800,4966.6
2820,5237.5
2840,5000.0
2860,5470.8
2880,4845.9
2900,8041.6
2920,5729.1
2940,7583.2
2960,6054.3
2980,5079.2
3000,6329.2
3020,6058.3
3040,5645.8
3060,187454.1
3080,7262.6
3100,6883.4
3120,4208.3
3140,5545.8
3160,6816.7
3180,5425.0
3200,5095.8
3220,5425.0
3240,4983.4
3260,6925.1
3280,6529.2
3300,7895.8
3320,7725.0
3340,10145.7
3360,4562.5
3380,8904.2
3400,7379.1
3420,8354.1
3440,8587.6
3460,6866.7
3480,9433.3
3500,7633.3
3520,12120.8
3540,4933.4
3560,8829.2
3580,6900.1
3600,101258.4
3620,7095.8
3640,6470.9
3660,9674.9
3680,6800.0
3700,6479.2
3720,6195.8
3740,6437.5
3760,9775.0
3780,11375.1
3800,13729.1
3820,12979.1
3840,8562.4
3860,14695.8
3880,11474.9
3900,12295.8
3920,13104.2
3940,-4341.6
3960,12508.4
3980,10770.8
4000,13304.2
